profile_id,sex,age,pr_interest_keyword_cd_1,pr_interest_keyword_cd_2,pr_interest_keyword_cd_3,ch_interest_keyword_cd_1,ch_interest_keyword_cd_2,ch_interest_keyword_cd_3
230,M,2,P04,P07,P06,K01,K03,K02
233,M,6,P04,P03,P06,K01,K02,K03
240,F,2,P06,,,K01,,
248,M,5,P02,P01,P03,K01,K02,K03
251,M,6,P02,P06,P01,K05,K08,K03
255,F,9,P01,,,K01,K02,
258,F,10,P06,P01,P02,K04,K03,K06
260,M,6,P01,P03,P06,K01,K06,K08
261,M,4,P01,,,K03,,
264,M,4,P03,P02,,K06,K02,
279,F,4,P07,P08,,K01,K07,K08
290,F,8,P01,P02,P06,K07,K05,K04
292,M,2,P07,,,K04,,
293,M,6,P08,P07,P02,K02,,
300,F,6,P05,,,K01,K02,K03
302,F,6,P02,P06,P07,K01,K05,K06
303,F,2,P06,,,K01,K02,
304,F,5,P02,P03,P06,K04,K03,K02
307,F,3,P06,P07,P05,K01,K02,
309,M,4,P04,P08,P03,K01,K02,K07
316,F,6,P06,P03,P01,K01,K06,K04
317,M,5,P07,P03,P05,K01,K02,
321,F,6,P06,P03,,K01,K04,K06
326,M,8,P02,P01,P08,K08,K04,K06
327,F,4,P06,P07,P08,K01,K03,K04
335,F,6,P04,P07,P02,K03,K07,K01
338,M,12,P07,P02,P04,K01,K02,K08
345,F,7,P02,P03,P06,K02,K01,K04
346,M,1,P01,P03,P06,K01,K03,K02
349,F,5,P02,P07,P08,K01,K03,K05
350,M,1,P05,,,K01,K04,K05
358,M,8,P07,P01,P06,K02,K04,K09
361,M,5,P06,P03,P04,K04,K05,K08
363,F,3,P07,P06,P05,K08,,
364,M,9,P05,,,K06,,
369,M,2,P05,P04,P02,K01,,
370,M,7,P08,,,K08,,
372,M,4,P04,P02,P03,K01,K02,
373,M,4,P01,P02,P04,K02,K01,K08
384,M,2,P02,P03,P04,K01,K08,K09
390,F,6,P03,P04,P02,K01,K03,K05
395,F,8,P01,P08,P06,K05,K03,K07
397,M,6,P08,P07,P06,K02,K03,K08
399,M,4,P06,P02,P01,K03,K02,K09
402,F,6,P07,P03,P02,K04,K03,K01
407,M,8,P06,P02,P07,K04,K01,K05
408,M,8,P04,P02,P06,K09,K04,K03
411,M,7,P04,P02,P07,K04,K02,K08
414,M,4,P03,P07,P02,K01,K03,K08
415,F,9,P07,P03,P08,K03,K04,K05
417,F,8,P06,P08,P07,K03,,
420,F,3,P04,P06,P05,K01,K02,K08
423,M,3,P02,P03,P06,K01,K02,K03
436,M,4,P02,P03,P07,K02,K08,K01
444,F,8,P01,P02,P03,K03,K06,K05
447,F,9,P01,P07,P08,K06,K03,K05
448,F,9,P01,P08,P06,K04,K02,K03
450,F,5,P02,P06,P07,K01,K06,K03
452,M,11,P01,P02,P07,K03,K05,K06
457,F,6,P06,,,K07,K06,
459,M,13,P02,P05,P08,K01,K04,K07
462,F,4,P02,P03,,K01,K03,K06
463,M,2,P03,,,K09,,
464,M,3,P03,P05,,K01,,
465,M,9,P01,P05,P06,K04,K07,K09
471,M,7,P06,P01,P07,K04,K01,K05
472,M,7,P07,P05,P02,K09,K01,K07
478,F,3,P05,,,K01,,
479,M,8,P01,P06,,K04,K09,
486,F,4,P03,P06,P02,K01,K02,K03
489,M,8,P03,P01,P06,K09,K02,K08
491,F,6,P02,P07,P08,K03,K06,K04
493,M,4,P02,,,K01,,
495,F,3,P02,P06,P07,K01,K03,K06
503,M,4,P06,P03,P04,K05,K03,K09
514,M,6,P01,P03,P05,K06,K08,K09
518,F,6,P06,P03,P02,K01,K05,K07
525,F,2,P06,P05,,K01,K07,
527,M,3,P07,P02,P05,K01,K02,K08
530,M,9,P03,P07,P08,K05,K06,K02
533,M,8,P04,P08,P07,K03,K09,K05
534,M,5,P02,P03,P04,K01,K03,K07
537,F,6,P08,P06,P02,K01,K05,K06
539,M,6,P05,,,K04,,
541,M,6,P08,P04,P07,K02,K09,
546,F,3,P06,P03,P05,K01,K06,K02
551,F,10,P08,P07,P02,K05,K01,K04
561,M,9,P01,P02,P04,K04,K07,K02
567,M,2,P01,,,K01,,
570,M,5,P01,P04,P07,K01,K02,K03
572,M,8,P03,P05,P06,K05,K03,K02
574,F,5,P01,P02,P07,K01,K02,K06
579,F,3,P03,P06,,K01,,
580,F,3,P05,P07,P02,K01,K03,K02
581,F,5,P02,P06,P07,K01,K06,K05
582,M,3,P07,P03,P05,K01,K02,K08
587,M,6,P07,P01,P06,K08,K04,K09
590,F,8,P06,P07,P08,K01,K06,K04
594,F,7,P07,P06,P04,K03,K06,K05
595,M,4,P04,P03,P07,K01,K06,K08
603,F,4,P02,P06,P07,K01,K03,K06
604,F,12,P06,P08,P07,K04,K06,K09
607,F,3,P06,,,K01,,
610,F,5,P03,P06,P07,K01,K03,K06
613,M,6,P01,P07,P08,K03,K06,K08
616,F,3,P02,P05,P04,K01,K02,K03
621,M,5,P07,P01,P03,K06,K02,K05
622,F,4,P06,P05,P03,K01,K08,K02
626,F,2,P02,P06,P03,K01,K02,K03
629,M,11,P05,,,K06,,
637,M,3,P03,,,K01,,
645,F,3,P06,,,K02,,
647,F,5,P03,,,K02,,
648,F,5,P02,P06,P08,K01,K04,K03
649,F,4,P05,P06,,K01,K02,K03
653,M,9,P03,,,K02,,
654,M,4,P03,P04,P02,K01,K02,K08
664,F,4,P07,P04,P02,K03,K04,K07
670,F,5,P02,P07,P06,K01,K06,K03
671,M,8,P01,P07,P08,K06,K03,K05
673,M,5,P05,P07,,K08,,
695,M,6,P05,,,K02,,
700,F,3,P02,P06,P07,K01,K03,K02
702,F,8,P07,P08,P02,K04,K03,K01
704,F,4,P02,P03,P04,K01,K03,K08
705,F,5,P06,,,K01,,
712,M,3,P03,P07,P04,K01,K08,K09
717,M,7,P03,P01,P07,K02,K06,K05
721,F,7,P06,P04,P02,K04,K08,K02
725,M,5,P02,P03,P06,K02,K03,K09
726,M,4,P07,P04,,K06,K02,K08
727,M,6,P03,,,K02,,
729,F,2,P03,P06,P05,K03,K01,K05
734,M,4,P08,P07,P01,K01,K05,K06
735,F,2,P06,,,K01,,
736,F,7,P07,P06,,K03,,
738,F,7,P06,P07,P01,K01,K03,K06
740,F,4,P07,P06,P04,K02,K01,K05
743,F,8,P03,P01,P06,K02,K07,K04
748,M,8,P03,P01,P08,K02,K04,K05
749,F,3,P05,,,K01,,
753,M,7,P01,P07,P03,K01,K02,K03
754,F,3,P03,P04,P02,K01,K03,K02
758,M,9,P01,P06,P08,K05,K08,K09
759,M,1,P05,P06,P07,K01,K04,K05
762,M,6,P02,P03,P01,K08,K09,K07
764,F,5,P06,P08,P02,K01,K05,K03
769,M,5,P02,P03,,K02,,
770,M,6,P02,P01,P07,K08,K04,K07
777,F,7,P06,,,K04,,
779,M,5,P08,P07,P06,K03,K06,K08
782,F,7,P07,P02,,K01,K03,
788,M,3,P02,P03,P05,K01,K03,K02
793,F,6,P03,P02,P06,K07,K01,K02
798,M,6,P05,P06,P07,K02,K01,K08
804,M,7,P04,P06,P07,K03,K04,K08
805,M,5,P01,P03,P02,K02,K06,K03
808,F,6,P07,P08,P03,K06,K05,K03
810,M,4,P03,P02,P05,K01,K08,K02
814,M,3,P06,P05,P03,K01,,
815,F,3,P04,P07,P05,K03,K02,K01
816,M,4,P01,P02,P07,K03,K05,K08
824,F,4,P04,P03,P02,K02,K01,K03
826,F,9,P01,P03,P06,K01,K06,K03
832,F,6,P02,P03,P04,K01,K05,K07
848,F,5,P07,P06,P08,K01,K05,K06
854,F,8,P06,P03,P01,K03,K02,K05
855,F,6,P04,P02,P06,K02,K01,K03
857,M,5,P07,,,K08,,
861,M,3,P04,P05,P02,K03,K01,K08
862,M,5,P04,P02,P03,K01,K02,K08
863,F,4,P02,P01,P07,K01,K09,K04
874,F,8,P07,P03,P06,K01,K03,K05
879,F,2,P07,P02,P06,K01,K08,K02
884,F,6,P01,P02,P07,K01,K09,K04
891,F,5,P04,P02,P03,K03,K04,K07
893,F,3,P04,P02,P07,K01,K02,K03
896,M,3,P02,P06,P07,K01,K07,K02
897,F,6,P02,P04,P06,K04,K05,K06
908,F,11,P06,P07,P08,K04,K06,
910,M,6,P02,P05,P07,K01,K07,K08
916,F,3,P06,,,K07,K01,
925,M,3,P05,P07,P02,K01,K02,
929,M,4,P07,,,K01,K05,
931,F,7,P01,P02,P03,K01,K06,K02
935,F,1,P04,P02,P03,K01,K03,
936,F,7,P02,P07,P08,K04,K05,K06
943,F,3,P05,P06,P02,K01,,
947,F,7,P03,P01,P05,K01,K04,K09
948,M,7,P01,,,K05,K09,K01
950,F,5,P06,,,K01,,
951,M,8,P02,,,K02,K03,K05
953,F,6,P02,P06,P07,K04,K01,K03
960,M,6,P01,P03,P07,K01,K02,K08
964,F,6,P06,P07,P02,K01,K04,K06
970,M,4,P04,P05,P07,K03,K05,K04
973,F,6,P08,P06,,K04,,
975,M,3,P04,,,K01,,
977,M,4,P02,P07,P05,K01,K08,K06
980,F,9,P03,P04,P01,K04,K09,
981,F,8,P07,P02,P06,K01,,
985,F,2,P06,P02,,K01,K02,K03
988,M,4,P03,P02,P07,K02,K08,K01
989,F,6,P05,P06,,K09,,
990,M,3,P06,,,K01,,
993,M,1,P05,P06,P08,K08,K07,K05
994,M,9,P03,P02,P01,K06,K03,K04
999,F,4,P02,P06,P07,K01,K03,K04
1002,M,5,P06,P07,P01,K03,K06,K09
1007,F,9,P02,P04,P07,K03,K04,K07
1012,F,6,P05,,,K03,,
1020,M,5,P01,P03,P08,K05,K08,K06
1024,F,1,P07,,,K06,K07,K03
1026,M,7,P08,P01,P07,K05,K08,K06
1027,M,3,P05,P06,P03,K01,K03,K08
1028,M,4,P04,P06,P02,K03,K08,K06
1033,F,8,P07,P01,P04,K01,K03,K05
1038,M,6,P05,P02,P03,K01,K09,K02
1039,M,4,P02,,,K01,,
1040,M,7,P02,P07,P08,K08,,
1042,M,7,P02,P04,P06,K04,K05,K08
1043,M,9,P04,P03,P02,K05,K02,K06
1046,M,4,P03,P06,P05,K01,K02,K03
1048,F,4,P06,,,K09,,
1049,F,2,P02,P03,P04,K01,,
1056,F,4,P02,P03,P06,K03,K06,K02
1058,F,8,P01,P03,P02,K01,K06,
1063,M,6,P06,,,K01,,
1066,M,4,P02,P03,P05,K02,K01,
1067,F,7,P07,P04,P06,K01,K03,K06
1069,M,4,P07,P04,P02,K08,K02,K01
1070,M,5,P03,P06,P05,K08,K09,K02
1072,M,9,P01,P02,P06,K09,K04,
1077,M,5,P02,P03,P04,K04,K01,K05
1078,M,7,P03,P04,P08,K02,K04,K08
1079,M,3,P02,P03,P08,K01,K05,K07
1080,F,4,P02,P03,P04,K01,K02,K05
1086,F,4,P07,P03,P06,K09,K02,K01
1087,M,7,P03,P01,P02,K04,K06,K05
1089,F,6,P01,P02,P06,K01,K02,K03
1097,F,4,P07,P06,,K01,K02,
1105,M,3,P04,P01,P05,K01,K08,K09
1106,F,7,P01,,,K03,,
1107,M,6,P02,P01,P07,K01,K03,K09
1108,F,4,P03,P06,P02,K06,K03,K01
1110,M,3,P03,P06,P05,K02,K01,K03
1111,F,7,P02,P07,P08,K01,K06,K03
1113,M,6,P01,P04,P03,K05,K06,K07
1116,F,8,P06,P07,P08,K01,K03,K07
1117,M,11,P01,P08,P03,K05,K09,K06
1120,F,7,P01,P06,P08,K04,K05,K07
1123,M,2,P07,,,K05,,
1124,F,7,P07,,,K04,,
1125,F,2,P06,P02,P05,K01,K06,K03
1130,M,9,P01,P03,P07,K03,K09,K05
1132,M,2,P07,,,K01,,
1137,M,4,P05,P04,P08,K05,K08,K02
1138,F,4,P02,P04,P06,K01,K06,K05
1142,M,6,P04,P02,P07,K02,K03,K06
1147,M,4,P02,P05,P06,K01,K08,K09
1148,F,8,P07,P06,P02,K01,K03,K06
1158,F,6,P05,P06,,K06,K03,K01
1163,F,6,P07,P06,P05,K01,K04,K03
1164,F,7,P06,P02,P07,K04,K01,K05
1166,M,3,P03,P04,P06,K01,K09,K08
1172,M,6,P07,P01,P08,K05,K09,K08
1175,M,3,P02,P03,P06,K01,K02,K09
1177,M,2,P02,P04,P03,K01,,
1178,F,9,P07,,,K06,,
1192,F,5,P02,P05,P06,K01,K03,K02
1194,F,3,P02,P06,P04,K01,K08,
1198,M,8,P01,P03,P07,K04,K08,K02
1208,F,6,P01,P02,P05,K01,K03,K09
1215,M,7,P03,P05,P07,K02,K04,K09
1216,M,3,P05,P06,P04,K01,K09,K06
1220,M,5,P07,P08,P01,K06,K08,K05
1221,M,1,P07,P08,P06,K05,K08,K06
1222,M,3,P06,P02,P04,K02,K09,K01
1223,M,10,P01,P07,P08,K05,K03,K06
1229,F,6,P03,P07,P08,K03,K02,K01
1231,M,5,P06,,,K01,,
1233,F,9,P01,P03,P08,K03,K01,K06
1236,M,3,P02,P04,P01,K01,K06,K08
1245,M,7,P02,P06,P04,K01,K05,K08
1259,M,7,P01,P02,P08,K03,K09,K05
1265,M,8,P01,P06,P08,K03,K05,K06
1269,F,2,P04,,,K01,,
1270,M,4,P02,P05,P06,K01,K06,K03
1277,F,1,P06,P07,P03,K03,K01,K06
1279,M,8,P01,P07,P08,K04,K05,K06
1282,F,3,P06,P05,P02,K01,K02,K03
1286,F,4,P02,P04,P07,K01,K03,K07
1287,M,6,P06,P05,P02,K02,K03,K08
1298,F,4,P06,,,K04,,
1299,F,7,P03,P06,P08,K01,K04,
1301,M,9,P08,P03,P02,K01,K08,K09
1306,F,2,P03,P06,P05,K01,K02,K07
1307,M,4,P04,P01,P02,K08,K03,K02
1309,F,4,P06,P02,,K01,K08,K04
1313,M,4,P02,P03,P06,K01,K05,K08
1315,M,13,P01,P06,P03,K04,K08,K02
1318,F,4,P04,P02,P08,K01,K05,K03
1322,F,8,P01,P02,P03,K06,K04,K03
1323,F,2,P02,P06,,K01,,
1325,M,3,P07,P03,P02,K02,K09,K06
1332,M,3,P05,P03,P02,K08,K01,K02
1334,F,5,P03,P04,P06,K02,K03,K07
1336,F,9,P04,P06,P07,K01,K02,K07
1337,F,6,P02,P03,P04,K07,K01,K04
1345,M,5,P03,P02,P04,K08,K02,K04
1346,M,3,P02,P04,P06,K01,K02,K03
1347,F,8,P03,P06,P08,K01,K03,K04
1348,F,6,P03,P06,P07,K07,K01,K03
1349,F,5,P02,P04,P07,K03,K06,K02
1352,F,8,P02,,,K04,,
1363,M,8,P07,P08,P02,K03,K01,K04
1364,M,7,P06,,,K02,,
1378,F,9,P08,P03,P01,K06,K01,K04
1381,F,7,P07,P06,P04,K03,K04,K05
1383,M,8,P03,P01,P05,K09,,
1385,F,7,P01,P02,P08,K03,K06,K05
1387,M,8,P01,P03,P08,K06,K03,K04
1388,F,3,P02,P06,P07,K01,K02,K07
1391,M,8,P07,P01,P08,K03,K06,K07
1392,M,5,P02,P05,P01,K01,K03,K02
1393,M,3,P04,P05,P02,K01,K07,K02
1395,F,6,P03,P02,P07,K02,K01,K07
1403,F,2,P06,P07,P02,K01,K02,K03
1404,F,5,P02,P04,P07,K01,K03,K08
1407,F,7,P01,P03,P06,K02,K04,K09
1408,F,1,P03,,,K03,,
1409,F,2,P02,,,K01,,
1410,M,3,P02,P06,P03,K02,K08,K01
1416,F,3,P06,P04,P07,K07,K08,K01
1417,F,4,P02,P04,P06,K01,K04,K02
1423,M,4,P02,P05,P07,K01,K08,K05
1424,M,3,P06,,,K01,K08,K02
1425,F,3,P03,P05,P07,K01,K08,K09
1428,M,4,P02,P06,P05,K01,K09,K08
1430,F,3,P06,P05,P03,K01,K02,
1440,M,7,P06,,,K01,,
1441,M,12,P03,,,K09,K08,K07
1442,M,8,P02,P03,P08,K04,K02,K01
1446,F,2,P02,P03,P06,K01,K02,K03
1450,M,6,P05,P01,P04,K01,K09,K08
1451,M,3,P07,P04,P03,K02,K01,K08
1452,F,9,P01,P03,P06,K02,K04,K07
1453,M,1,P05,P02,P01,K09,K08,K01
1454,M,7,P01,P06,P03,K01,K03,K08
1456,F,5,P01,P08,P03,K02,K07,K01
1457,M,5,P02,P05,P06,K08,K01,K07
1460,F,4,P02,,,K01,K03,K02
1463,F,6,P03,P02,P06,K02,K03,K01
1466,F,7,P01,P03,P02,K01,K04,K03
1480,F,8,P03,P05,P06,K01,K03,K04
1483,F,4,P04,,,K01,,
1484,F,3,P03,P05,P06,K01,K02,K03
1488,F,5,P04,,,K03,,
1489,F,7,P06,P07,P08,K01,K05,K07
1490,F,3,P05,P04,P06,K01,K03,K08
1493,F,4,P03,P06,P08,K01,,
1494,M,4,P06,,,K06,,
1495,F,9,P01,P06,P03,K04,K07,K03
1504,F,6,P07,P02,P04,K06,K03,K01
1506,F,8,P06,P03,P04,K04,K03,K02
1515,F,6,P05,,,K01,,
1520,F,7,P06,P07,P05,K04,K07,K05
1521,M,3,P07,P04,P03,K01,,
1522,F,4,P06,P03,P04,K01,K02,K07
1531,M,6,P01,P07,P02,K04,K09,K08
1532,F,9,P01,P07,P08,K05,K03,K04
1534,M,9,P07,P08,P01,K03,K05,K06
1538,F,8,P06,P05,P02,K01,K04,K06
1550,F,3,P02,P03,P06,K01,K02,K04
1551,F,4,P02,P03,P06,K01,,
1552,M,10,P04,P08,P02,K05,K09,K07
1554,M,5,P03,P06,P08,K01,K02,K04
1555,F,8,P06,P03,P05,K02,,
1562,F,4,P06,P07,P03,K01,K02,
1565,M,3,P03,P06,P07,K01,K02,K05
1571,M,8,P01,P03,,K03,,
1572,M,4,P04,,,K01,,
1575,M,4,P03,P02,,K01,K08,K02
1576,M,7,P01,P04,P08,K08,K04,K03
1582,M,6,P01,P02,,K08,,
1585,M,2,P01,,,K04,,
1591,M,5,P05,P02,P07,K08,K09,K03
1592,M,7,P01,P07,P08,K05,K06,
1603,F,7,P01,P03,P06,K04,K07,
1605,F,3,P05,,,K01,K03,K02
1606,M,4,P06,,,K01,,
1609,M,4,P02,P03,P06,K02,K05,K01
1610,F,5,P06,P07,P02,K01,K03,K04
1615,M,5,P03,P06,P05,K02,K01,K08
1619,M,10,P06,P01,,K08,,
1621,M,6,P08,P07,P01,K06,K04,K03
1623,M,2,P07,,,K01,,
1625,M,5,P04,P06,P07,K03,K04,K08
1631,M,3,P06,P05,P02,K08,K02,K01
1632,M,6,P02,P01,P03,K02,K03,K08
1633,M,4,P05,P04,P08,K01,K02,K08
1635,F,5,P02,P03,P06,K01,K02,K06
1639,M,6,P01,P08,P03,K05,K06,K09
1641,F,6,P06,P01,P03,K02,K08,K04
1645,F,6,P01,P04,P06,K01,K03,K02
1649,M,3,P07,,,K01,,
1650,M,3,P06,P05,P03,K01,K02,K05
1652,F,6,P02,P03,P06,K03,K06,K07
1653,F,8,P06,P08,P07,K01,K04,K06
1654,M,8,P08,P03,P02,K04,K03,K05
1667,M,5,P02,P04,P07,K02,K08,
1672,F,6,P04,P06,P07,K01,K05,K06
1673,M,10,P05,P02,P03,K09,,
1679,F,4,P07,P03,P06,K03,K06,K01
1681,M,4,P04,,,K08,,
1683,F,3,P03,,,K01,,
1684,M,5,P06,P05,P03,K01,K02,K08
1686,F,7,P07,P03,P02,K01,K02,K03
1691,M,5,P01,P02,P07,K06,K03,K01
1697,F,4,P02,,,K01,,
1700,F,6,P07,P08,P03,K03,K05,K06
1704,F,4,P06,,,K01,,
1705,M,3,P07,P02,P05,K01,K09,K06
1709,F,5,P02,P04,P07,K01,K03,K05
1713,M,3,P07,P06,P08,K03,K01,K08
1719,F,5,P06,,,K02,K01,K04
1726,F,8,P02,P06,P07,K02,K03,K04
1729,F,7,P02,P03,P07,K01,K03,K06
1738,M,7,P03,P04,P07,K02,K03,K01
1741,F,4,P02,P03,P06,K01,K03,K06
1743,F,3,P02,P04,,K01,,
1745,F,3,P08,P03,P07,K01,K03,K05
1747,M,3,P03,P02,P04,K01,K08,K07
1753,M,5,P02,P01,P03,K09,K08,K03
1763,M,4,P06,P01,P03,K08,K03,K02
1773,M,3,P03,P05,,K02,K08,K09
1776,M,6,P03,P07,P02,K01,K03,K02
1778,M,6,P07,P04,P03,K06,K08,
1781,F,6,P02,P03,P07,K05,K02,K06
1783,M,5,P07,P06,P05,K06,K01,K02
1786,F,4,P02,P04,P08,K01,K03,K05
1788,M,8,P01,P03,P08,K06,K03,K05
1790,M,1,P01,,,K01,,
1791,F,11,P06,P07,P08,K01,K06,
1795,M,9,P07,,,K03,K08,K04
1796,F,1,P06,,,K03,K01,K02
1799,M,4,P08,P07,P01,K02,K03,K06
1801,M,5,P08,P04,P07,K01,K06,K04
1802,M,6,P08,P07,P01,K03,K06,K05
1803,F,6,P06,P02,P07,K02,K04,K06
1804,M,5,P02,P03,P07,K02,K06,
1805,M,4,P07,P08,P03,K01,K03,K04
1806,F,6,P03,P08,P02,K03,K05,K01
1810,M,7,P03,P07,P02,K03,K01,K05
1812,M,3,P06,,,K01,,
1813,F,1,P05,P02,,K01,K02,
1814,F,6,P03,P05,P06,K02,K04,K06
1817,M,6,P08,P07,,K05,K04,K08
1821,M,5,P07,P02,P06,K01,K06,K08
1822,M,7,P01,P03,P07,K03,K04,K06
1823,M,3,P04,P03,P05,K01,K08,
1826,F,3,P02,P06,P07,K01,K02,
1833,M,8,P07,P02,P01,K06,K04,K08
1835,M,4,P07,,,K06,,
1846,M,4,P06,,,K01,K08,K02
1847,M,9,P01,P02,P07,K02,K05,K04
1850,M,3,P06,,,K01,,
1852,F,7,P07,P01,P02,K01,K05,K09
1853,F,3,P03,,,K02,K01,K08
1858,M,5,P02,P04,P05,K08,K09,
1871,F,1,P01,P02,P03,K06,,
1874,M,4,P06,,,K01,,
1876,M,2,P02,P05,P03,K06,K09,K02
1878,M,3,P06,P03,,K01,,
1882,M,3,P05,,,K08,,
1884,M,3,P01,P05,P02,K01,K02,K08
1888,F,5,P06,P02,P05,K06,K03,K07
1890,M,7,P06,P07,P01,K04,K06,K08
1900,F,6,P06,P07,P08,K01,K02,K04
1902,F,5,P07,P08,P06,K06,K05,K04
1905,M,3,P05,P01,P06,K09,K02,K08
1907,F,3,P03,P07,P06,K01,K02,K03
1908,F,3,P05,,,K01,,
1909,F,7,P07,P02,P08,K05,K07,K03
1911,F,4,P02,P07,P06,K06,K03,K04
1916,F,4,P06,P03,P02,K02,K01,K03
1917,F,4,P01,,,K01,,
1921,F,5,P03,,,K04,,
1922,F,7,P07,P06,P08,K06,K03,K04
1924,M,1,P01,,,K04,,
1925,F,1,P02,,,K04,K03,
1932,F,3,P05,P06,P02,K01,K02,K07
1937,M,5,P03,,,K08,K02,
1945,F,8,P07,P06,P02,K02,K01,K07
1948,F,2,P04,,,K01,,
1953,M,6,P05,P02,P07,K05,K09,K08
1954,F,1,P01,P02,P06,K03,K08,K05
1957,M,7,P06,P03,P08,K05,K06,K02
1959,M,2,P04,P07,P03,K01,K02,K03
1974,F,4,P06,P01,,K01,,
1981,M,2,P06,,,K01,,
1982,M,3,P03,P04,P06,K01,K08,K03
1984,F,7,P03,P01,P08,K04,K03,K05
1987,F,5,P07,P08,P04,K01,K03,K09
1988,F,3,P06,P07,,K01,K03,
1989,M,7,P05,,,K04,K03,
1992,F,9,P01,P03,P06,K03,K05,K01
1993,F,6,P06,P07,P03,K03,K04,K05
2000,M,7,P01,P06,P08,K05,K03,K04
2006,M,4,P05,,,K01,,
2008,M,8,P02,P03,P06,K02,K04,K08
2013,F,4,P05,P03,P04,K01,K03,K04
2014,M,4,P03,P02,P06,K02,K07,K08
2015,F,2,P03,P06,P07,K01,K03,K02
2021,M,5,P02,P06,P03,K05,K03,K06
2022,F,3,P06,P03,,K01,K02,
2026,F,4,P04,P03,P02,K01,K07,K02
2031,F,2,P02,P05,,K01,K07,K08
2032,F,5,P02,P03,P01,K08,K02,K06
2033,M,6,P03,P02,P05,K06,K07,K03
2038,M,7,P07,P08,P01,K09,K04,K02
2040,F,6,P07,P03,P06,K04,K01,K02
2041,F,8,P02,P06,P01,K03,K02,K07
2042,M,7,P03,,,K02,,
2046,F,8,P01,P07,P08,K03,K01,K06
2047,M,8,P07,,,K06,,
2053,M,6,P08,P05,,K08,,
2054,M,10,P01,P06,P02,K03,K04,K06
2055,F,6,P03,P02,P06,K02,K06,K05
2056,F,9,P03,P04,P02,K01,K03,
2057,M,6,P01,P03,P06,K01,K03,K06
2060,F,7,P04,P02,P07,K08,K07,K04
2072,M,9,P03,P01,,K05,,
2075,F,4,P04,P03,P06,K01,K02,K06
2079,F,4,P07,,,K06,,
2080,M,5,P05,,,K06,,
2081,F,3,P06,,,K01,,
